experiment_id,config_label,n,successes,success_rate,success_ci_low,success_ci_high,first_plan_successes,goals_met,goals_expected,llm_calls_median,llm_calls_q1,llm_calls_q3,llm_s_median,llm_s_q1,llm_s_q3,n_act_median,n_act_q1,n_act_q3,replans_median,replans_q1,replans_q3,duration_s_median,duration_s_q1,duration_s_q3,t_success_median,t_success_q1,t_success_q3,causes,end_reasons,manipulation_bad,manipulation_unknown,plan_calls_to_ablated,peer_requests_sent_median,peer_requests_sent_q1,peer_requests_sent_q3,peer_transfers_median,peer_transfers_q1,peer_transfers_q3,sessions_with_transfer,peer_requests_refused,peer_wait_timeouts,arbitrations,max_peer_depth,shas
CO5,ATOM,6,5,0.833,0.436,0.97,0,5,6,39.0,32.0,42.0,91.586,71.189,96.503,27.5,23.0,29.0,3.0,2.0,3.0,123.211,102.302,127.336,116.204,94.547,123.035,"{""failed_after_replans:action_failed:peer_refused:already_failed"": 1}","{""idle"": 6}",0,0,0,2.0,2.0,2.0,1.0,1.0,1.0,5,7,15,0,1,3c435fd
CO5,DET,6,6,1.0,0.61,1.0,6,6,6,1.0,1.0,1.0,4.287,4.228,4.321,15.0,15.0,15.0,0.0,0.0,0.0,39.435,38.2,42.602,35.1,34.946,39.161,{},"{""idle"": 6}",0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,0,1,3c435fd
CO5,SUB,6,6,1.0,0.61,1.0,6,6,6,12.0,12.0,12.0,23.8,23.73,23.889,15.0,15.0,15.0,0.0,0.0,0.0,59.506,57.921,60.625,55.482,54.125,57.182,{},"{""idle"": 6}",0,0,48,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,0,1,3c435fd
CO6,ATOM,6,6,1.0,0.61,1.0,1,6,6,30.5,30.0,32.0,73.223,72.114,76.08,30.0,26.0,30.0,1.0,1.0,1.0,115.21,113.727,117.229,111.536,109.882,114.108,{},"{""idle"": 6}",0,0,0,4.0,4.0,4.0,2.0,2.0,2.0,6,0,3,11,2,3c435fd
CO6,DET,6,6,1.0,0.61,1.0,6,6,6,1.0,1.0,1.0,4.362,4.333,4.394,19.0,19.0,19.0,0.0,0.0,0.0,44.233,41.343,45.47,41.096,37.864,41.261,{},"{""idle"": 6}",0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,6,0,0,6,2,3c435fd
CO6,SUB,6,6,1.0,0.61,1.0,6,6,6,16.0,16.0,16.0,30.872,29.426,31.254,20.0,19.0,20.0,0.0,0.0,0.0,70.108,69.667,70.255,66.146,65.837,66.275,{},"{""idle"": 6}",0,0,36,2.0,2.0,2.0,2.0,2.0,2.0,6,0,0,6,2,3c435fd
